WU_PRTNO,WU_DESC
571-073682-35190,"CONFIG,TM,VTM, 2300"
571-073682-35196,"CONFIG,TM,VTM, 2300"
571-073682-35198,"CONFIG,TM,VTM, 2300"
571-073682-35200,"CONFIG,TM,VTM, 2300"
571-073682-35387,"CONFIG,TM,VTM, 2300"
571-073682-35413,"CONFIG,TM,VTM, 2300"
571-073682-35553,"CONFIG,TM,VTM, 2300"
571-073682-35558,"CONFIG,TM,VTM, 2300"
571-073682-35567,"CONFIG,TM,VTM, 2300"
571-073682-35667,"CONFIG,TM,VTM, 2300"
571-073682-35682,"CONFIG,TM,VTM, 2300"
571-073682-35723,"CONFIG,TM,VTM, 2300"
571-073682-35921,"CONFIG,TM,VTM, 2300"
571-073682-35924,"CONFIG,TM,VTM, 2300"
571-073682-35947,"CONFIG,TM,VTM, 2300"
571-073682-35952,"CONFIG,TM,VTM, 2300"
571-073682-36062,"CONFIG,TM,VTM, 2300"
571-073682-36068,"CONFIG,TM,VTM, 2300"
571-073682-36069,"CONFIG,TM,VTM, 2300"
571-073682-36070,"CONFIG,TM,VTM, 2300"
571-073682-36071,"CONFIG,TM,VTM, 2300"
571-073682-36072,"CONFIG,TM,VTM, 2300"
571-073682-36078,"CONFIG,TM,VTM, 2300"
571-073682-36079,"CONFIG,TM,VTM, 2300"
571-073682-36119,"CONFIG,TM,VTM, 2300"
571-073682-36120,"CONFIG,TM,VTM, 2300"
571-073682-36125,"CONFIG,TM,VTM, 2300"
571-073682-36126,"CONFIG,TM,VTM, 2300"
571-073682-36127,"CONFIG,TM,VTM, 2300"
571-073682-36129,"CONFIG,TM,VTM, 2300"
571-073682-36318,"CONFIG,TM,VTM, 2300"
571-073682-36320,"CONFIG,TM,VTM, 2300"
571-073682-36323,"CONFIG,TM,VTM, 2300"
571-073682-36325,"CONFIG,TM,VTM, 2300"
571-073682-36413,"CONFIG,TM,VTM, 2300"
571-073682-36420,"CONFIG,TM,VTM, 2300"
571-073682-36427,"CONFIG,TM,VTM, 2300"
571-073682-36428,"CONFIG,TM,VTM, 2300"
571-073682-36430,"CONFIG,TM,VTM, 2300"
571-073682-36433,"CONFIG,TM,VTM, 2300"
571-073682-36434,"CONFIG,TM,VTM, 2300"
571-073682-36435,"CONFIG,TM,VTM, 2300"
571-073682-36441,"CONFIG,TM,VTM, 2300"
571-073682-36575,"CONFIG,TM,VTM, 2300"
571-073682-36614,"CONFIG,TM,VTM, 2300"
571-073682-36615,"CONFIG,TM,VTM, 2300"
571-073682-36620,"CONFIG,TM,VTM, 2300"
571-073682-36622,"CONFIG,TM,VTM, 2300"
571-073682-36630,"CONFIG,TM,VTM, 2300"
571-073682-36631,"CONFIG,TM,VTM, 2300"
571-073682-36957,"CONFIG,TM,VTM, 2300"
571-073682-36958,"CONFIG,TM,VTM, 2300"
571-073682-37068,"CONFIG,TM,VTM, 2300"
571-073682-37069,"CONFIG,TM,VTM, 2300"
571-073682-37074,"CONFIG,TM,VTM, 2300"
571-073682-37075,"CONFIG,TM,VTM, 2300"
571-073682-37079,"CONFIG,TM,VTM, 2300"
571-073682-37080,"CONFIG,TM,VTM, 2300"
571-073682-37148,"CONFIG,TM,VTM, 2300"
571-073682-37278,"CONFIG,TM,VTM, 2300"
571-073682-37300,"CONFIG,TM,VTM, 2300"
571-073682-37301,"CONFIG,TM,VTM, 2300"
571-073682-37302,"CONFIG,TM,VTM, 2300"
571-073682-37304,"CONFIG,TM,VTM, 2300"
571-073682-37306,"CONFIG,TM,VTM, 2300"
571-073682-37307,"CONFIG,TM,VTM, 2300"
571-073682-37364,"CONFIG,TM,VTM, 2300"
571-073682-37367,"CONFIG,TM,VTM, 2300"
571-073682-37383,"CONFIG,TM,VTM, 2300"
571-073682-37461,"CONFIG,TM,VTM, 2300"
571-073682-37502,"CONFIG,TM,VTM, 2300"
571-073682-37559,"CONFIG,TM,VTM, 2300"
